# nm	x_force	y_force	z_force	magnitude_x-y_force
-2.000000000000000000e+00	4.022657469312849621e+00	-2.195240320914102483e+00	6.304897652573925315e-01	2.956785908612856701e+02
-1.979999999999999982e+00	4.379084070935741480e+00	1.131851038378039798e+00	-2.084742965004947823e+00	3.008358377663747660e+02
-1.959999999999999964e+00	-1.033727521170053482e-01	-7.316638425539683244e-01	2.416658844217724145e+00	2.936351065977892745e+02
-1.939999999999999947e+00	-8.216697668930051934e-01	2.889199062224287573e+00	-4.201062351563236152e-01	2.985360719809860939e+02
-1.919999999999999929e+00	-3.320885669177247035e+00	3.448491835319320575e-01	-5.559339875500751704e-01	2.961128010962504504e+02
-1.900000000000000133e+00	8.082709029987120708e-01	1.878273921446955486e+00	3.347080457407689114e+00	2.974971291416260328e+02
-1.880000000000000115e+00	6.954016442915644802e-02	-3.429688325576433883e+00	1.947540861658431988e+00	2.952084816002775938e+02
-1.860000000000000098e+00	-3.620663312248623700e-01	9.733636185719012346e-01	-4.411442654031302868e-02	2.960217942508167539e+02
-1.840000000000000080e+00	-2.741535612575429326e+00	-2.814397568771210167e+00	-1.623388350483106368e+00	2.938208537451633333e+02
-1.820000000000000062e+00	5.587647361342218399e-01	-4.302131452908705134e-01	-1.330585342488886935e+00	2.977835116046813937e+02
-1.800000000000000044e+00	-1.923544091211605522e+00	1.896729714931559618e+00	-8.994499171323706577e-01	2.953692383945127631e+02
-1.780000000000000027e+00	4.238291207562394192e+00	-1.457494987249265406e-01	-7.650045345160738641e-01	2.962635566704989856e+02
-1.760000000000000009e+00	4.870384926595369812e+00	-7.940720536503482752e-01	-1.443918667951745283e+00	2.944671615781580272e+02
-1.739999999999999991e+00	-3.515149096285790087e-01	-1.467944060097150227e-01	9.670527791050663735e-01	2.946152042327852882e+02
-1.719999999999999973e+00	-2.679381074941911134e+00	2.370653634670477405e+00	-4.944616774389230862e+00	2.960155121674484917e+02
-1.699999999999999956e+00	1.566940682081645386e+00	-4.291743802878927871e-01	5.013839399852443313e-01	2.990361824078552218e+02
-1.679999999999999938e+00	-2.182888764333393294e-02	-1.387751664106517069e+00	-1.061399941128979396e+00	3.004340228898253713e+02
-1.660000000000000142e+00	4.169277249184555778e+00	-2.734703520626594830e+00	-3.238021844919746428e+00	2.946544227734720494e+02
-1.640000000000000124e+00	-2.400916643736665357e+00	-1.094665818955494530e+00	-3.597434902176463556e+00	2.957862964157890246e+02
-1.620000000000000107e+00	-1.241257110503696914e+00	4.962620969597606457e-01	-8.196249032130333845e-01	2.979109741567150991e+02
-1.600000000000000089e+00	6.793448335876676181e-01	3.375528490530155690e+00	9.649302618725148495e-01	2.947432383002388860e+02
-1.580000000000000071e+00	8.165453577914203454e-01	5.540057495919736397e+00	4.977732296460123607e+00	2.946143686948889808e+02
-1.560000000000000053e+00	-2.565683173921288862e+00	5.328629035640801703e-01	-4.154317736303001496e-01	2.971015569528951801e+02
-1.540000000000000036e+00	5.388686448234656368e-01	-3.182932988847062550e+00	1.018564923918701348e+00	2.988238218027803441e+02
-1.520000000000000018e+00	-1.414146561079153264e+00	1.185565545364367201e+00	2.517981854738462477e+00	2.937375799165881176e+02
-1.500000000000000000e+00	5.463209257461174584e-01	-1.820198275312338021e+00	1.032745832972570943e+00	2.955986133827497611e+02
-1.479999999999999982e+00	1.088168359250160533e+00	1.452886194232968498e+00	4.984591445863456372e+00	2.981190631370897108e+02
-1.459999999999999964e+00	-1.051072656462275656e+00	1.386505967287650520e+00	-5.929919350716259530e-01	2.962958288014976915e+02
-1.439999999999999947e+00	-4.638045862315481216e+00	-1.065653325689163378e+00	2.643698556119860932e+00	2.974606629349799505e+02
-1.419999999999999929e+00	8.687134155010159953e-01	9.496572209309518398e-01	7.887512337736486412e-01	2.981975641767979823e+02
-1.400000000000000133e+00	3.261888286579771368e+00	-1.274038853898306733e+00	-4.232106206842318752e-01	2.952681180771281220e+02
-1.380000000000000115e+00	2.568033225969395872e+00	-2.146002962186869478e+00	1.463358748204316440e+00	2.980817424439021011e+02
-1.360000000000000098e+00	1.685736047663449533e+00	-9.644226811811337785e-02	-6.629225345546120529e+00	2.948573547655009293e+02
-1.340000000000000080e+00	5.232711096074298851e+00	2.773198825894762076e-01	1.556799807649494660e+00	2.948268394632623313e+02
-1.320000000000000062e+00	-2.504531911282589896e+00	-3.275730108077572034e+00	-2.509777802589234774e+00	2.977499302488268427e+02
-1.300000000000000044e+00	2.046989069946887785e+00	1.240618959324630843e+00	-9.242587918569851180e-01	2.967605496884082186e+02
-1.280000000000000027e+00	1.230407124016598353e+00	1.364703972538459098e+00	1.053366556596625481e+00	2.991683217355966349e+02
-1.260000000000000009e+00	-1.148069977639817552e+00	4.814039101523706621e-01	1.555785505158866711e+00	2.994097859472900609e+02
-1.239999999999999991e+00	-1.206185854936136836e+00	-2.747856126143089495e-01	-3.027950197493931572e+00	2.962446794698743702e+02
-1.219999999999999973e+00	1.840799952229686953e+00	2.564428500663623378e+00	-3.903366168609961884e-01	2.945619391324584058e+02
-1.199999999999999956e+00	-3.000046613580181987e+00	-2.090914624143803469e+00	1.364845298900947190e+00	2.952546380254748328e+02
-1.179999999999999938e+00	-2.028167381029645444e+00	-1.092463147001817347e+00	3.094978879703150110e+00	2.954577106405613449e+02
-1.159999999999999920e+00	-4.644503213369677752e+00	-1.550598443419761718e+00	2.380171902066923639e+00	2.948432466984472740e+02
-1.140000000000000124e+00	1.988113105145738801e+00	5.232210183833602812e+00	-3.114475515326249333e+00	2.974214495386722206e+02
-1.120000000000000107e+00	-1.371941764077693193e+00	-7.307102317238635125e-01	5.323520440074862137e+00	2.942229215390181594e+02
-1.100000000000000089e+00	-5.058334566669818733e-01	-2.542142839357934392e+00	3.030817357409139934e+00	2.953449789887689008e+02
-1.080000000000000071e+00	-1.737678262860336442e+00	2.051514652366165148e+00	-3.899809072935294552e+00	2.944644301274305462e+02
-1.060000000000000053e+00	-8.632077274075201645e-01	1.889803823465239674e+00	-2.580892057308530330e+00	2.950309390797426659e+02
