# nm	H2O.H	H2O.O	CCl4.Cl	CCl4.C	Na+	Cl-	DDC.T	DDC.HG
-2.000000000000000000e+00	2.758465109036722183e+09	-2.722039423763647556e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.257141968750000000e+07	-6.308570362500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.979999999999999982e+00	2.743894834927492142e+09	-2.751960522380816460e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.908026212500000000e+07	-5.707754137500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.959999999999999964e+00	2.745586027458028316e+09	-2.781881620997984886e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.205713575000000000e+07	-5.908026212500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.939999999999999947e+00	2.718526946969458580e+09	-2.750399421583398819e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.507482062500000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.919999999999999929e+00	2.773946025277779579e+09	-2.730625478149443626e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.355917631250000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.900000000000000133e+00	2.737260156538467884e+09	-2.715274653641504765e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.607618100000000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.880000000000000115e+00	2.750009146384044170e+09	-2.802436114830648422e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.707754137500000000e+07	-5.657686118750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.860000000000000098e+00	2.727373184821490765e+09	-2.741813367197602749e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.507482062500000000e+07	-5.807890175000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.840000000000000080e+00	2.733097221078688622e+09	-2.718917222168812275e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.606257725000000000e+07	-5.607618100000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.820000000000000062e+00	2.743634651461256027e+09	-2.735829147474168777e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.707754137500000000e+07	-6.108298287500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.800000000000000044e+00	2.759245659435431004e+09	-2.690817407815298080e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.108298287500000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.780000000000000027e+00	2.701484929930984020e+09	-2.723080157628592491e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.757822156250000000e+07	-4.956733856250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.760000000000000009e+00	2.713063094178497314e+09	-2.724901441892246723e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.207073950000000000e+07	-6.008162250000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.739999999999999991e+00	2.729194469085144520e+09	-2.751960522380816460e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.557550081250000000e+07	-5.106937912500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.719999999999999973e+00	2.715664928840859413e+09	-2.732446762413097858e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.908026212500000000e+07	-5.157005931250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.699999999999999956e+00	2.751830430647698402e+09	-2.735829147474168777e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.757822156250000000e+07	-5.157005931250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.679999999999999938e+00	2.790727858850017548e+09	-2.772254832747244358e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.157005931250000000e+07	-5.807890175000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.660000000000000142e+00	2.746236486123619080e+09	-2.759766026367903709e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.607618100000000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.640000000000000124e+00	2.739081440802122116e+09	-2.777978869004441261e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.709114512500000000e+07	-4.656325743750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.620000000000000107e+00	2.741943458930720806e+09	-2.764449328760156155e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.906665837500000000e+07	-5.106937912500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.600000000000000089e+00	2.733617588011160851e+09	-2.730625478149443626e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.208434325000000000e+07	-5.207073950000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.580000000000000071e+00	2.722039423763648033e+09	-2.747017036522327423e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.058230268750000000e+07	-4.656325743750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.560000000000000053e+00	2.754432265310060501e+09	-2.717095937905158520e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.508842437500000000e+07	-5.507482062500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.540000000000000036e+00	2.751830430647697926e+09	-2.700184012599802971e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.207073950000000000e+07	-4.606257725000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.520000000000000018e+00	2.731406028548152924e+09	-2.713973736310324192e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.208434325000000000e+07	-4.105577537500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.500000000000000000e+00	2.729194469085144520e+09	-2.801915747898176193e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.006801875000000000e+07	-5.908026212500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.479999999999999982e+00	2.720868598165584564e+09	-2.756123457840596199e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.008162250000000000e+07	-5.657686118750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.459999999999999964e+00	2.757814650371131897e+09	-2.798273179370868683e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.106937912500000000e+07	-5.457414043750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.439999999999999947e+00	2.751960522380816460e+09	-2.725681992290955067e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.006801875000000000e+07	-4.906665837500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.419999999999999929e+00	2.748838320785981178e+09	-2.703566397660873890e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.908026212500000000e+07	-5.157005931250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.400000000000000133e+00	2.735178688808578491e+09	-2.777458502071968555e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.908026212500000000e+07	-4.255781593750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
