# nm	H2O.H	H2O.O	CCl4.Cl	CCl4.C	Na+	Cl-	DDC.T	DDC.HG
# 
-1.980544514789484678e+00	2.736056808007125378e+09	-2.718071625903544903e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.670203123437500000e+07	-6.408706400000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.960544514789484660e+00	2.719502634967844009e+09	-2.718982268035371780e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.357278006250000000e+07	-5.620135104687500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.940544514789484642e+00	2.722397176029722214e+09	-2.743894834927492619e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.595101095312500000e+07	-5.857958193750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.920544514789484625e+00	2.704249379259743690e+09	-2.729519698417939663e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.257141968750000000e+07	-6.271019348437500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.900544514789484607e+00	2.741097862665452957e+09	-2.734723367742664337e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.419863029687500000e+07	-6.245985339062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.880544514789484811e+00	2.739504238934755802e+09	-2.705973094723559380e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.782856165625000000e+07	-6.458774418750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.860544514789484793e+00	2.736219422673523426e+09	-2.749098504252217293e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.620135104687500000e+07	-6.271019348437500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.840544514789484776e+00	2.718787130435694695e+09	-2.737130064805350304e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.882992203125000000e+07	-5.945577226562500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.820544514789484758e+00	2.730788092815841675e+09	-2.712152452046669960e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.369795010937500000e+07	-5.732788146875000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.800544514789484740e+00	2.716640616839244843e+09	-2.726007221623750687e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.707754137500000000e+07	-5.620135104687500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.780544514789484722e+00	2.721746717364131927e+09	-2.711371901647961617e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.670203123437500000e+07	-6.045713264062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.760544514789484705e+00	2.715372222441343784e+09	-2.702460617929369926e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.144488926562500000e+07	-5.857958193750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.740544514789484687e+00	2.703761535260551453e+09	-2.713583461110969543e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.720271142187500000e+07	-5.933060221875000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.720544514789484669e+00	2.733845248544117451e+09	-2.724316029093214989e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.695237132812500000e+07	-5.419863029687500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.700544514789484651e+00	2.714851855508871078e+09	-2.736544652006319046e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.108298287500000000e+07	-5.720271142187500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.680544514789484634e+00	2.726787772022459030e+09	-2.717616304837631226e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.383672390625000000e+07	-6.045713264062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.660544514789484616e+00	2.736837358405834198e+09	-2.744350155993406296e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.845441189062500000e+07	-6.446257414062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.640544514789484820e+00	2.723372864028108120e+09	-2.721649148564292908e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.832924184375000000e+07	-5.870475198437500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.620544514789484802e+00	2.715697451774138927e+09	-2.758269971437045574e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.208434325000000000e+07	-5.595101095312500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.600544514789484785e+00	2.723307818161549568e+09	-2.738626119736208439e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.346121376562500000e+07	-5.582584090625000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.580544514789484767e+00	2.733227312811806202e+09	-2.734203000810192108e+09	-9.356461003906249971e+03	0.000000000000000000e+00	6.045713264062500000e+07	-5.432380034375000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.560544514789484749e+00	2.715014470175269127e+09	-2.707208966188181400e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.183400315625000000e+07	-5.607618100000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.540544514789484731e+00	2.728316349886596680e+09	-2.712802910712260246e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.771699535937500000e+07	-5.845441189062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.520544514789484714e+00	2.732121533080302238e+09	-2.723925753893860817e+09	-9.356461003906249971e+03	0.000000000000000000e+00	6.396189395312500000e+07	-5.582584090625000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.500544514789484696e+00	2.717095937905158997e+09	-2.713258231778174400e+09	-9.356461003906249971e+03	0.000000000000000000e+00	6.421223404687500000e+07	-5.920543217187500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.480544514789484678e+00	2.728966808552187920e+09	-2.739666853601153851e+09	-1.871292200781249994e+04	0.000000000000000000e+00	5.657686118750000000e+07	-5.645169114062500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.460544514789484660e+00	2.720705983499186993e+09	-2.737325202405027390e+09	-1.871292200781249994e+04	0.000000000000000000e+00	6.083264278125000000e+07	-5.933060221875000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.440544514789484642e+00	2.732739468812613487e+09	-2.734853459475782871e+09	-1.871292200781249994e+04	0.000000000000000000e+00	6.070747273437500000e+07	-6.396189395312500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.420544514789484625e+00	2.718526946969458103e+09	-2.753781806644470215e+09	-2.806938301171874991e+04	3.742334061468750588e+04	6.371155385937500000e+07	-5.757822156250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.400544514789484607e+00	2.739016394935562611e+09	-2.708705021119039536e+09	-2.806938301171874991e+04	0.000000000000000000e+00	6.346121376562500000e+07	-6.195917320312500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.380544514789484811e+00	2.720868598165584564e+09	-2.751830430647697926e+09	-2.806938301171874991e+04	7.484668122937501175e+04	6.233468334375000000e+07	-6.083264278125000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.360544514789484793e+00	2.720120570700155258e+09	-2.734593276009546280e+09	-2.806938301171874991e+04	7.484668122937501175e+04	6.008162250000000000e+07	-5.882992203125000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.340544514789484776e+00	2.751927999447536469e+09	-2.710591351249252796e+09	-3.742584401562499988e+04	0.000000000000000000e+00	6.746665526562500000e+07	-6.083264278125000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.320544514789484758e+00	2.714298965643118858e+09	-2.738040706937176704e+09	-9.356461003906249971e+03	3.742334061468750588e+04	6.383672390625000000e+07	-5.670203123437500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.300544514789484740e+00	2.720153093633434772e+09	-2.706103186456677437e+09	-9.356461003906249971e+03	0.000000000000000000e+00	6.884352578125000000e+07	-5.870475198437500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.280544514789484722e+00	2.704542085659259796e+09	-2.719177405635049343e+09	-8.420814903515625338e+04	3.742334061468750588e+04	6.496325432812500000e+07	-6.296053357812500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.260544514789484705e+00	2.727600845354447365e+09	-2.735438872274814606e+09	-6.549522702734375343e+04	1.496933624587500235e+05	6.759182531250000000e+07	-5.682720128125000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.240544514789484687e+00	2.718331809369781017e+09	-2.736739789605995655e+09	-4.678230501953125349e+04	7.484668122937501175e+04	6.971971610937500000e+07	-5.695237132812500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.220544514789484669e+00	2.737617908804543018e+09	-2.738365936269972324e+09	-5.613876602343750710e+04	3.742334061468750588e+04	7.134692671875000000e+07	-5.732788146875000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.200544514789484651e+00	2.727405707754770279e+09	-2.732902083479010582e+09	-6.549522702734374616e+04	3.742334061468750588e+04	7.297413732812500000e+07	-6.408706400000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.180544514789484634e+00	2.707111397388342857e+09	-2.729649790151058197e+09	-4.678230501953125349e+04	0.000000000000000000e+00	7.322447742187500000e+07	-5.945577226562500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.160544514789484616e+00	2.722136992563486099e+09	-2.734268046676751614e+09	-7.485168803124999977e+04	0.000000000000000000e+00	6.796733545312500000e+07	-5.770339160937500000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.140544514789484598e+00	2.733520019211322308e+09	-2.734788413609223366e+09	-9.356461003906250698e+04	3.742334061468750588e+04	7.009522625000000000e+07	-5.983128240625000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.120544514789484802e+00	2.711339378714681625e+09	-2.725551900557836533e+09	-1.029210710429687460e+05	2.245400436881250062e+05	7.560270831250000000e+07	-5.607618100000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
