# nm	x_force	y_force	z_force	magnitude_x-y_force
# 
-1.980544514789484678e+00	1.037065849806872553e+00	3.969600461816460424e-01	1.560196603763266410e-01	2.971403829323770651e+02
-1.960544514789484660e+00	1.220577310714634933e+00	4.762565092875072348e-01	6.196199497034896586e-01	2.978689759731960862e+02
-1.940544514789484642e+00	3.496298027335211778e-01	7.419622974550010852e-01	6.933900620889064115e-01	2.952742366263101417e+02
-1.920544514789484625e+00	4.283302539370398843e-01	1.311056145748141111e+00	-6.450275245958831949e-01	2.969830010102754727e+02
-1.900544514789484607e+00	-1.433222799839862338e+00	1.221262131744452084e+00	1.307291124053667764e+00	2.956738158323172456e+02
-1.880544514789484811e+00	-1.975109719537546660e-01	-4.161035745131770325e-01	2.659061477880930724e-02	2.967428382562814022e+02
-1.860544514789484793e+00	1.024133262911238740e+00	-7.829795133528992812e-01	2.235224928912846465e-01	2.953979305224250993e+02
-1.840544514789484776e+00	1.867970302328137766e+00	-6.645630461686741208e-01	2.365572544085687845e-01	2.964603638927418388e+02
-1.820544514789484758e+00	-8.307636573215528841e-01	5.304014257330387228e-01	-1.156836305758695893e+00	2.961892381243632144e+02
-1.800544514789484740e+00	9.751430446731581547e-01	-2.859094100258598559e+00	-1.169844456612548989e+00	2.964037603289358458e+02
-1.780544514789484722e+00	-5.461374435570161001e-01	2.279703180843679178e+00	2.635868046725156066e-01	2.967113760779129734e+02
-1.760544514789484705e+00	2.216594031918378782e+00	-3.207634525609207587e-01	1.181967647931145837e+00	2.968777948587515425e+02
-1.740544514789484687e+00	5.365707765288543207e-01	-1.164672070175543306e+00	1.603011959288221044e+00	2.961501483147796421e+02
-1.720544514789484669e+00	-6.540851653412660394e-01	-2.773218058628478255e-01	2.987763561599048323e-01	2.958922774692406392e+02
-1.700544514789484651e+00	-1.116092340221777057e-01	1.094350435215568407e+00	-3.427788162019281604e+00	2.966663358554916385e+02
-1.680544514789484634e+00	2.134899706603492764e-01	2.391294306736912456e-01	-6.542179431799854950e-01	2.977085326251424249e+02
-1.660544514789484616e+00	-9.355634424923958692e-01	-1.263148532762532916e+00	8.506766826266269899e-01	2.969583868179924480e+02
-1.640544514789484820e+00	-1.422609474380298611e-02	-4.632557767318283837e-01	-3.238797064757534372e+00	2.960957085105280839e+02
-1.620544514789484802e+00	-2.091698391715408611e-01	1.731755773336264848e-01	-8.217803998497918982e-03	2.958928798998198317e+02
-1.600544514789484785e+00	1.671129965361492609e+00	1.874656016194571118e+00	-1.240153114988901573e+00	2.982921476208647391e+02
-1.580544514789484767e+00	-7.307775189885098444e-01	2.100387116973366552e+00	-3.722174418156614095e-01	2.973389176945392478e+02
-1.560544514789484749e+00	-4.622201944980108279e-01	8.539756600652810281e-01	2.621254978124968327e-01	2.956118523501884283e+02
-1.540544514789484731e+00	-1.127064553965893667e+00	8.056581227530901224e-02	-3.944572228839137162e-01	2.973594393784649128e+02
-1.520544514789484714e+00	6.013492517818013194e-01	-3.655210066668612146e-01	2.499262814955887535e+00	2.976175365190484854e+02
-1.500544514789484696e+00	3.658632827579296753e-01	1.244658049449278714e+00	1.755321406557739827e+00	2.972807424622326380e+02
-1.480544514789484678e+00	-6.157007561902916315e-01	-1.809873572052807411e+00	-3.054249303652777359e-01	2.951999444043103722e+02
-1.460544514789484660e+00	1.865841295125286459e-01	1.619395589484919018e+00	6.155883200828959900e-02	2.974458633548288162e+02
-1.440544514789484642e+00	-5.895888125324221241e-01	7.692147651873100234e-01	2.609265899209514572e+00	2.964887245671405367e+02
-1.420544514789484625e+00	-1.993985233925370526e+00	-4.853230531059570807e-01	5.384428783329111567e-01	2.971941895297819656e+02
-1.400544514789484607e+00	-2.793498342515131072e-01	-5.002930176449998934e-01	1.082620502618524494e+00	2.965895255743866983e+02
-1.380544514789484811e+00	1.295383064800537110e-01	-9.439941932756036325e-01	2.749089892091766130e-01	2.952444671397461207e+02
-1.360544514789484793e+00	4.142927591908803775e-01	-1.112927609803544104e+00	9.651552458544468971e-01	2.958408903601592783e+02
-1.340544514789484776e+00	1.439287473797028705e+00	-1.252105208492559019e+00	-3.112465264905862838e+00	2.961689604573392671e+02
-1.320544514789484758e+00	2.125630632351424687e+00	-4.486812145869710777e-01	-7.187594721234757955e-03	2.964417866489591802e+02
-1.300544514789484740e+00	-1.064716978513974288e-01	7.511263482669408020e-01	-1.977385777616728735e+00	2.971282476033839544e+02
-1.280544514789484722e+00	-3.767415425329123657e-01	-7.450872288837355750e-01	6.761198568603854486e-01	2.976106339963048413e+02
-1.260544514789484705e+00	8.422559584683616540e-01	-1.096179305906463952e-02	-8.226691437803159701e-01	2.991642299826777389e+02
-1.240544514789484687e+00	-1.097527751137350238e+00	-3.100772666128143729e-01	-5.544526465929378034e-02	2.979009761883619376e+02
-1.220544514789484669e+00	-4.223676388833919049e-03	-4.206680205713182463e-01	-1.983237300827815908e+00	2.967060339316072941e+02
-1.200544514789484651e+00	5.267539317965421741e-01	1.817998873234142776e+00	3.135680763388581371e-01	2.962709846916162633e+02
-1.180544514789484634e+00	6.073678251896723612e-01	1.273583544469538253e+00	9.274147596480317723e-01	2.962026015135760417e+02
-1.160544514789484616e+00	-1.141211404715837929e+00	-1.551067637247969477e+00	-1.683205645057803679e-01	2.958082279604886367e+02
-1.140544514789484598e+00	-8.820896507266836606e-01	-1.373224149478940781e+00	-5.332615981740947975e-01	2.973133494036197817e+02
-1.120544514789484802e+00	1.977254806193362580e-01	2.812009689220539954e+00	-1.100278419495692495e+00	2.960409387137099770e+02
-1.100544514789484785e+00	-1.868817210835497900e+00	6.496433817793815235e-01	2.383729212524633656e+00	2.947240936704773731e+02
-1.080544514789484767e+00	1.445233657816185291e+00	5.311632133050014914e-01	1.300911557523124484e+00	2.960735720291125972e+02
-1.060544514789484749e+00	2.673937245651975547e-01	-7.399793555452448546e-01	-1.490742883453316736e+00	2.963708505496786643e+02
-1.040544514789484731e+00	-1.105985874267276348e+00	-4.602399428299547846e-01	-7.129632379555144173e-01	2.964237826578349768e+02
-1.020544514789484714e+00	-1.080015684487456440e-02	-5.766328520387360435e-01	-8.516579191339600508e-01	2.971930814933725742e+02
-1.000544514789484696e+00	7.289804654085993985e-01	-7.871732422250308225e-01	-2.733756465646010603e-01	2.987601997858401432e+02
-9.805445147894845670e-01	1.833223382571709248e+00	2.987394682067876506e-01	2.166915534509340713e+00	2.971133242217540555e+02
-9.605445147894845492e-01	4.858659104366025439e-02	6.620940527249098428e-01	8.560810515389584152e-01	2.969186963757814510e+02
-9.405445147894845315e-01	-9.186503753548656004e-01	-7.766567870633673820e-01	1.619611186234629852e+00	2.973406508115537576e+02
-9.205445147894846247e-01	-8.674862091597317360e-01	4.759140687537648517e-01	1.885242524630012850e+00	2.955748654556294355e+02
-9.005445147894846070e-01	2.491981309094319363e-01	-1.715360875052961490e-02	-2.166201964654696610e+00	2.984748858077090290e+02
-8.805445147894845892e-01	5.484691326484281149e-02	-9.436294640183522375e-01	-1.314322846343047857e+00	2.970505930187190984e+02
-8.605445147894845714e-01	-1.047678772817701498e+00	3.743996543776218489e-01	-4.469370577470310191e-01	2.959713291626131308e+02
-8.405445147894845537e-01	1.023069303044011891e-01	1.867176954794633303e+00	1.593311529776653579e+00	2.966362297624864368e+02
-8.205445147894845359e-01	-3.725564288298499616e-02	-4.822248045334329714e-01	1.064746809243253045e+00	2.968490044955682379e+02
-8.005445147894846292e-01	-1.051622242697892173e-01	-1.091989269034745247e+00	1.112773801537015217e+00	2.966349908153515003e+02
-7.805445147894846114e-01	2.108491224833242139e-01	-3.893424337213345909e-01	1.303755854208863418e-01	2.976568848270404715e+02
-7.605445147894845936e-01	6.300317099623835571e-01	9.528274838919648104e-01	-2.339701723358603047e+00	2.976409832428727213e+02
-7.405445147894845759e-01	3.134998465989782268e-01	5.800121651014005231e-01	1.756163139534461237e+00	2.968885410361740469e+02
-7.205445147894845581e-01	-1.456089656773841279e-01	-7.126688396449055718e-01	-9.878737828091294082e-01	2.988350733607657048e+02
-7.005445147894845404e-01	6.982376593791981279e-01	-2.782877207612569626e-01	-1.551468536845141077e+00	2.974606204013589377e+02
-6.805445147894846336e-01	2.615653324918391753e+00	-4.101854271327842749e-02	2.034726409108095879e+00	2.956340447415821018e+02
-6.605445147894846158e-01	-7.121741040137097301e-01	-1.745621818834689254e+00	-1.092705847800791608e+00	2.981320059480865439e+02
-6.405445147894845981e-01	9.223926467320280320e-01	1.038203806688488440e+00	-1.326944207308398571e+00	2.967570162521684551e+02
-6.205445147894845803e-01	2.480183851881310186e-01	-4.520480571942209203e-03	2.845823237808597916e-01	2.970472367186944780e+02
-6.005445147894845626e-01	-3.015064424749091532e-01	-8.049817982157554397e-01	-1.014453780347719380e+00	2.993974962246979317e+02
