# x(nm)	average	StDev
# 
1.562000000000000020e-02	1.873499999999999943e+00	1.658312395177617736e-03
3.125000000000000000e-02	1.848749999999999893e+00	1.479019945774891166e-03
4.687999999999999806e-02	1.825499999999999901e+00	1.500000000000019981e-03
6.250000000000000000e-02	1.803249999999999797e+00	1.299038105676621722e-03
7.811999999999999500e-02	1.782499999999999973e+00	8.660254037844394544e-04
9.375000000000000000e-02	1.761749999999999927e+00	1.299038105676707158e-03
1.093999999999999972e-01	1.742999999999999883e+00	1.414213562373096327e-03
1.250000000000000000e-01	1.724250000000000060e+00	1.299038105676621722e-03
1.406000000000000028e-01	1.706500000000000128e+00	1.118033988749871088e-03
1.562000000000000055e-01	1.689749999999999863e+00	1.479019945774891166e-03
1.718999999999999972e-01	1.672999999999999821e+00	7.071067811865481634e-04
1.875000000000000000e-01	1.656500000000000083e+00	1.499999999999946038e-03
2.031000000000000028e-01	1.640249999999999986e+00	1.299038105676621722e-03
2.187999999999999945e-01	1.627250000000000085e+00	1.479019945774891383e-03
2.343999999999999972e-01	1.611499999999999932e+00	5.000000000000559552e-04
2.500000000000000000e-01	1.597249999999999837e+00	4.330127018922677574e-04
2.656000000000000028e-01	1.583250000000000046e+00	1.920286436967186391e-03
2.812000000000000055e-01	1.570999999999999952e+00	2.738612787525812869e-03
2.968999999999999972e-01	1.558000000000000052e+00	1.581138830084191215e-03
3.125000000000000000e-01	1.545500000000000096e+00	1.500000000000019981e-03
3.281000000000000028e-01	1.533250000000000002e+00	1.639359631075505827e-03
3.437999999999999945e-01	1.520999999999999908e+00	2.549509756796394799e-03
3.593999999999999972e-01	1.508999999999999897e+00	1.870828693387002056e-03
3.750000000000000000e-01	1.497500000000000275e+00	1.118033988749920745e-03
3.906000000000000028e-01	1.487749999999999906e+00	1.299038105676696532e-03
4.062000000000000055e-01	1.475499999999999812e+00	1.118033988749920745e-03
4.218999999999999972e-01	1.463999999999999968e+00	1.224744871391544908e-03
4.375000000000000000e-01	1.457250000000000156e+00	2.277608394786091815e-03
4.531000000000000028e-01	1.445249999999999924e+00	1.299038105676696316e-03
4.687999999999999945e-01	1.435499999999999998e+00	1.499999999999982901e-03
4.843999999999999972e-01	1.426249999999999796e+00	2.487468592766560720e-03
5.000000000000000000e-01	1.417249999999999899e+00	8.291561975888422616e-04
5.155999999999999472e-01	1.407249999999999890e+00	8.291561975888422616e-04
5.312000000000000055e-01	1.398499999999999854e+00	1.802775637732042472e-03
