# x(nm^-1)	average	StDev
# 
4.000000000000000000e+00	1.908750000000000169e-01	9.681522349300239472e-03
2.000000000000000000e+00	9.783250000000000279e-02	6.216322767521000568e-03
1.332999999999999963e+00	6.726499999999999146e-02	8.839259018718683423e-04
1.000000000000000000e+00	4.685250000000000525e-02	9.188137732968527536e-04
8.000000000000000444e-01	3.478749999999999898e-02	1.401024178949099091e-03
6.666999999999999593e-01	2.319999999999999840e-02	1.209442020106793426e-03
5.714000000000000190e-01	1.535999999999999865e-02	4.626553793051581590e-04
5.000000000000000000e-01	1.228499999999999905e-02	7.927641515608534412e-04
4.444000000000000172e-01	9.456249999999999378e-03	4.390059082745928682e-04
4.000000000000000222e-01	8.350750000000000534e-03	2.893202161965182360e-04
3.635999999999999788e-01	7.489500000000000497e-03	5.469737196611917191e-04
3.332999999999999852e-01	6.140750000000000375e-03	3.736605244068473162e-04
3.076999999999999735e-01	4.851999999999999542e-03	3.147721398091004956e-04
2.857000000000000095e-01	4.143749999999999864e-03	1.962859839621769638e-04
2.666999999999999926e-01	3.925249999999999920e-03	1.541774545775095840e-04
2.500000000000000000e-01	3.603250000000000116e-03	8.011983212663389801e-05
2.353000000000000091e-01	3.374000000000000263e-03	9.750128204285310289e-05
2.222000000000000086e-01	2.949499999999999865e-03	7.404221768693859109e-05
2.104999999999999927e-01	2.397749999999999708e-03	6.927255950230227350e-05
2.000000000000000111e-01	2.301500000000000160e-03	7.161180070351523986e-05
1.905000000000000027e-01	2.168500000000000288e-03	8.315196930921112020e-05
1.817999999999999894e-01	2.170249999999999870e-03	1.552069183380689102e-04
1.738999999999999990e-01	1.998999999999999909e-03	1.012496913575542193e-04
1.666999999999999871e-01	1.709000000000000016e-03	1.080347166423831071e-04
1.600000000000000033e-01	1.542500000000000034e-03	1.767059704707227885e-05
1.537999999999999923e-01	1.558249999999999956e-03	4.059171713539594606e-05
1.481000000000000094e-01	1.456749999999999929e-03	3.154659252597657938e-05
1.428999999999999992e-01	1.380750000000000033e-03	9.953234398927815138e-05
1.378999999999999948e-01	1.288999999999999998e-03	7.582875444051542094e-06
1.333000000000000018e-01	1.196000000000000014e-03	3.655817282086184686e-05
1.290000000000000036e-01	1.022949999999999901e-03	3.822999476850605599e-05
1.250000000000000000e-01	1.039599999999999899e-03	4.219454941103174128e-05
1.212000000000000022e-01	1.012899999999999955e-03	4.301354437848620090e-05
1.175999999999999962e-01	9.910500000000000472e-04	8.776816051393560592e-06
1.142999999999999988e-01	9.276749999999999840e-04	5.507251469653444724e-05
1.111000000000000043e-01	8.037750000000000623e-04	1.318566930421052946e-05
1.081000000000000016e-01	7.956999999999998796e-04	2.115478669237768171e-05
1.053000000000000047e-01	7.781500000000000222e-04	4.924238519811971921e-05
1.025999999999999968e-01	7.780999999999999939e-04	6.504629120864617304e-05
1.000000000000000056e-01	7.525000000000000222e-04	6.482950717073204599e-05
9.755999999999999395e-02	7.034749999999999554e-04	3.896128687556406372e-05
9.524000000000000521e-02	6.511999999999999993e-04	4.136302696853795465e-05
9.302000000000000546e-02	5.950999999999998825e-04	1.905715088883959768e-05
9.091000000000000469e-02	6.343750000000000647e-04	2.735382742871644897e-05
8.888999999999999679e-02	6.278250000000000410e-04	3.208070876710800379e-05
8.695999999999999563e-02	5.544000000000000317e-04	3.663038356337536326e-05
8.511000000000000509e-02	5.598000000000000545e-04	1.951191943402800745e-05
8.333000000000000129e-02	5.334499999999999832e-04	2.039871319470912777e-05
8.162999999999999423e-02	5.002249999999999752e-04	3.304779682520454364e-05
8.000000000000000167e-02	4.857750000000000306e-04	1.934119631770483949e-05
7.842999999999999972e-02	5.086749999999999909e-04	4.511143840535345167e-05
7.692000000000000226e-02	4.739999999999999747e-04	1.247757989355307735e-05
7.546999999999999542e-02	4.586249999999999940e-04	2.133405434979482936e-05
7.406999999999999695e-02	4.474500000000000070e-04	7.226513682267545148e-06
7.273000000000000298e-02	4.199750000000000033e-04	1.776940840320803696e-05
7.142999999999999350e-02	4.213750000000000373e-04	2.282239853740180649e-05
7.018000000000000627e-02	4.025499999999999998e-04	3.448061049343528652e-05
6.897000000000000353e-02	4.023749999999999549e-04	2.424328515280055367e-05
6.779999999999999916e-02	3.866000000000000187e-04	2.084346420343795696e-05
6.666999999999999316e-02	3.685249999999999724e-04	1.842923967503813651e-05
6.557000000000000328e-02	3.441999999999999639e-04	6.524952107103932013e-06
6.451999999999999402e-02	3.395499999999999864e-04	2.099553523966465703e-05
6.349000000000000477e-02	3.425000000000000310e-04	2.261548142313137035e-05
6.250000000000000000e-02	3.440499999999999873e-04	1.936046228786905460e-05
6.153999999999999748e-02	3.326000000000000072e-04	1.702101642088392803e-05
6.060999999999999721e-02	3.134249999999999883e-04	1.090811051465835088e-05
5.970000000000000306e-02	3.093749999999999712e-04	1.247747971346770191e-06
5.881999999999999729e-02	3.024249999999999920e-04	1.064691856829947198e-05
5.797000000000000069e-02	2.872000000000000421e-04	1.105825483518986606e-05
5.714000000000000329e-02	2.959999999999999849e-04	9.563733580563610494e-06
5.634000000000000119e-02	2.898500000000000252e-04	1.384006864144828024e-05
5.555999999999999828e-02	2.764250000000000105e-04	1.898293641668747983e-05
5.478999999999999843e-02	2.656000000000000049e-04	1.552723413876405011e-05
5.405000000000000082e-02	2.595250000000000334e-04	9.453141012383137011e-06
5.333000000000000240e-02	2.761999999999999915e-04	1.389658231364819849e-05
5.263000000000000317e-02	2.756749999999999652e-04	2.132045672587714908e-05
5.195000000000000312e-02	2.604250000000000011e-04	2.107384338463205299e-05
5.127999999999999919e-02	2.324500000000000123e-04	1.012459875748169923e-05
5.063000000000000139e-02	2.358000000000000124e-04	4.734448225506319728e-06
5.000000000000000278e-02	2.389749999999999947e-04	1.111156492128808921e-05
4.938000000000000028e-02	2.326249999999999759e-04	1.352005454870653414e-05
4.877999999999999697e-02	2.364250000000000141e-04	1.705335377572401136e-05
4.818999999999999673e-02	2.292999999999999899e-04	9.359220052974492351e-06
4.762000000000000260e-02	2.179249999999999981e-04	1.584035589877955396e-05
4.705999999999999767e-02	2.032500000000000073e-04	5.928532702111030253e-06
4.651000000000000273e-02	2.096749999999999873e-04	9.334177789178868935e-06
4.598000000000000004e-02	2.174750000000000142e-04	5.296402080658150258e-06
4.544999999999999735e-02	2.107499999999999998e-04	5.978921307393171461e-06
4.494000000000000078e-02	2.004749999999999805e-04	9.436465175053635582e-06
4.444000000000000034e-02	1.973750000000000135e-04	1.514304708438826701e-05
4.395999999999999908e-02	1.882249999999999809e-04	9.560955757663560468e-06
4.347999999999999782e-02	1.861499999999999982e-04	1.137156541554416118e-05
4.300999999999999962e-02	1.915750000000000081e-04	9.373999946660977045e-06
4.254999999999999755e-02	1.893250000000000076e-04	8.993435105675695037e-06
4.211000000000000160e-02	1.980750000000000035e-04	1.230698480538592675e-05
4.166999999999999871e-02	1.836000000000000175e-04	8.091662375556711091e-06
4.123999999999999888e-02	1.726499999999999953e-04	3.251538097577821885e-06
4.082000000000000212e-02	1.730750000000000192e-04	1.260185998176459122e-05
4.039999999999999841e-02	1.744749999999999990e-04	4.038796231552176299e-06
4.000000000000000083e-02	1.819249999999999904e-04	1.084374819884711232e-05
3.960000000000000325e-02	1.687000000000000077e-04	1.721917535772257892e-06
3.921999999999999792e-02	1.618999999999999780e-04	4.060172410132353319e-06
3.883000000000000340e-02	1.672749999999999866e-04	8.722205856318686158e-06
3.846000000000000113e-02	1.648500000000000226e-04	3.793085815006032621e-06
3.810000000000000192e-02	1.708500000000000058e-04	7.271347880551442369e-06
