# nm	H2O.H	H2O.O	CCl4.Cl	CCl4.C	Na+	Cl-	DDC.T	DDC.HG
# 
0.000000000000000000e+00	1.849783108920380473e+07	1.884793075759888068e+07	0.000000000000000000e+00	0.000000000000000000e+00	5.207735864907884039e+06	6.263507144504826516e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.755312503398829326e+07	3.038881347616908699e+07	0.000000000000000000e+00	0.000000000000000000e+00	8.511563187500000000e+06	7.629214471875347197e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.586435882077858783e+07	2.419216593912121654e+07	0.000000000000000000e+00	0.000000000000000000e+00	9.743183704805368558e+06	1.371169163948330563e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	9.821441225218420848e+06	1.958247917650045455e+07	0.000000000000000000e+00	0.000000000000000000e+00	1.008221223927897401e+07	6.607982729160252959e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.985789495143381506e+07	1.145453831724874489e+07	0.000000000000000000e+00	0.000000000000000000e+00	8.037242688685319386e+06	4.497420923082961701e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.189436041989739612e+07	2.908263178533756360e+07	0.000000000000000000e+00	0.000000000000000000e+00	6.777700874257449061e+06	6.566359099734498188e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.095902210855148360e+07	3.341965219059812650e+07	0.000000000000000000e+00	0.000000000000000000e+00	6.758023449953430332e+06	4.767976663212053478e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.728408556343708187e+07	3.326891011559393257e+06	0.000000000000000000e+00	0.000000000000000000e+00	8.448746364499662071e+06	3.634245004817838781e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.655120564001108706e+07	1.895503962314860523e+07	0.000000000000000000e+00	0.000000000000000000e+00	5.454599862984977663e+06	7.728173451692005619e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.107415809745641798e+07	1.733335046429524198e+07	0.000000000000000000e+00	0.000000000000000000e+00	8.614027655277779326e+06	3.384224017992628273e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.512511844371766225e+07	2.178327705745708942e+07	0.000000000000000000e+00	0.000000000000000000e+00	8.536376953482184559e+06	7.743363481650429778e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.278391246469652839e+07	2.112489071411579102e+07	0.000000000000000000e+00	0.000000000000000000e+00	5.303134491908347234e+06	9.306458221502132714e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.034270186830059439e+07	1.728360597972073033e+07	0.000000000000000000e+00	0.000000000000000000e+00	5.601971428995640948e+06	9.922440493567600846e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	9.651533209852976725e+06	2.412517781877105311e+07	0.000000000000000000e+00	0.000000000000000000e+00	3.964157319859261625e+06	4.283303641258887015e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.466301054646590911e+07	1.773487211759540811e+07	0.000000000000000000e+00	0.000000000000000000e+00	3.593056287199563347e+06	7.571494646523208357e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.726119257501677424e+07	1.055107315257104114e+07	0.000000000000000000e+00	0.000000000000000000e+00	5.558452134507238865e+06	5.949199466631122865e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	3.647482853997548670e+07	1.683306094274502248e+07	0.000000000000000000e+00	0.000000000000000000e+00	1.036042088374111988e+07	5.023983276493375190e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.989773683789877966e+07	3.614467177174506336e+07	0.000000000000000000e+00	0.000000000000000000e+00	3.619124752008500043e+06	4.370209609811266884e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.066214996086589620e+07	1.487987287137168832e+07	0.000000000000000000e+00	0.000000000000000000e+00	6.441090559886448085e+06	9.402761924113253132e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.063182191270084679e+07	3.587295757933434099e+07	0.000000000000000000e+00	0.000000000000000000e+00	1.036646811664110795e+07	4.028842525780639611e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	9.932655042343376204e+06	3.578705117452650331e+06	1.620586583780252840e+04	0.000000000000000000e+00	2.164392443567528855e+06	2.361703721034781076e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.253074475201847032e+07	2.359865473070313409e+07	0.000000000000000000e+00	0.000000000000000000e+00	8.818938241681912914e+06	7.107190092170011252e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.859979132939263806e+07	1.354516724508661777e+07	0.000000000000000000e+00	0.000000000000000000e+00	7.421011072012646124e+06	5.590773074111123569e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.984581261148842797e+07	1.993706211986430734e+07	1.620586583780252840e+04	0.000000000000000000e+00	9.567938123153382912e+06	7.173019130346786231e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.009867191707585193e+07	1.478173578832232580e+07	1.620586583780252840e+04	0.000000000000000000e+00	7.395632789403604344e+06	1.186081141233089566e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.079070541346715018e+07	3.846466296013824642e+07	3.241173167560505681e+04	0.000000000000000000e+00	4.233635138516900130e+06	4.297910004676593468e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.072108025324211456e+07	2.044169201016015559e+07	3.241173167560505681e+04	0.000000000000000000e+00	3.966132977754081134e+06	5.647929951073067263e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.400172644890609011e+07	4.314198666151308268e+07	3.241173167560505681e+04	0.000000000000000000e+00	9.717420820633158088e+06	6.502821862316966057e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.844475899404158071e+07	1.941551018999860063e+07	4.861759751340758521e+04	6.481912733359466802e+04	9.132267998610928655e+06	6.651701643366432749e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.388175621955145895e+07	3.882644385869299993e+06	4.861759751340758521e+04	0.000000000000000000e+00	6.227131207133586518e+06	6.645810488510055467e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.024838861057474464e+07	3.081307214802724123e+07	4.861759751340758521e+04	1.296382546671893360e+05	5.456035850863740779e+06	1.202414508299515396e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.229947507516426593e+07	1.296927152508782409e+07	4.861759751340758521e+04	1.296382546671893360e+05	9.925597992611266673e+06	6.188010125329597853e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.612842747775654867e+07	3.853922308261415362e+07	6.482346335121011361e+04	0.000000000000000000e+00	1.086242369454663247e+07	5.982028319026187062e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	7.109664967137311585e+06	2.134892145801545680e+07	1.620586583780252840e+04	6.481912733359466802e+04	7.824880114121068269e+06	7.554922271749363281e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.452301015878801048e+07	1.761422369998141006e+07	1.620586583780252840e+04	0.000000000000000000e+00	4.105882818947237451e+06	9.104776630875861272e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.296046032340705208e+07	8.042573543097835034e+06	1.458527925402227847e+05	6.481912733359466802e+04	3.213239685778282117e+06	6.683424148555913009e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.889789528977781907e+07	2.664150378034017235e+07	1.134410608646176843e+05	2.592765093343786721e+05	8.511563187500000000e+06	4.886443689153401181e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.065660945268491656e+07	1.455691034734044410e+07	8.102932918901265657e+04	1.296382546671893360e+05	8.514323843776982278e+06	1.109080076112400554e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.503175355956146680e+07	4.477783154717328958e+06	9.723519502681519953e+04	6.481912733359466802e+04	7.328596679836889729e+06	2.138906698603141587e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	5.162343388374700211e+06	1.936521523725543171e+07	1.134410608646176843e+05	6.481912733359466802e+04	6.502821862316966057e+06	8.111946170044320635e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	3.707630084722216427e+07	4.983663861123249680e+07	8.102932918901265657e+04	0.000000000000000000e+00	2.135241046040165704e+06	1.339436477806363627e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.076387444343421608e+07	5.595245290176268667e+07	1.296469267024202272e+05	0.000000000000000000e+00	6.531670012199027464e+06	9.389422301260016859e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.773889748794995993e+07	6.666487366029410623e+06	1.620586583780253131e+05	6.481912733359466802e+04	5.892306004144079052e+06	1.247437427624079585e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	3.082163571345426515e+07	2.775835689625870436e+07	1.782645242158277833e+05	3.889147640015679062e+05	8.533623431464368477e+06	7.107190092170012183e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.537289099288395047e+07	3.465931630221291631e+07	1.296469267024202272e+05	1.296382546671893360e+05	7.189382209469831549e+06	6.198129527225059457e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.925741096926550567e+07	1.440321713842982426e+07	1.944703900536303408e+05	1.296382546671893360e+05	1.090057925862138160e+07	8.653044359829785302e+06	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.808541220661887899e+07	1.604827986585332640e+07	2.268821217292353685e+05	2.592765093343786721e+05	5.488959886946550570e+06	1.218914631296065636e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	2.250330826767249405e+07	1.132227897354367748e+07	1.458527925402227847e+05	6.481912733359466802e+04	1.090345350501506962e+07	1.090273501445351727e+07	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	3.193790134761014953e+07	2.611662419508152083e+07	2.754997192426430411e+05	2.592765093343786721e+05	6.767290541656829417e+06	8.042114631115317345e+06	0.000000000000000000e+00	3.748732986694420106e+05
0.000000000000000000e+00	1.673269359711304866e+07	2.216947879325761646e+07	1.782645242158277833e+05	1.296382546671893360e+05	9.944521933515021577e+06	4.607550060499021783e+06	0.000000000000000000e+00	4.521142093125000247e+05
0.000000000000000000e+00	2.154410520147641748e+07	3.331993164726938680e+07	2.754997192426429247e+05	4.537338913351625088e+05	9.104776630875861272e+06	8.573006072395456955e+06	0.000000000000000000e+00	4.926800373329958529e+05
0.000000000000000000e+00	1.291549520872466080e+07	1.581711658336750604e+07	2.430879875670379843e+05	1.944573820007839531e+05	7.102779796931679361e+06	7.294310659370508045e+06	1.257445108485012133e+04	9.042284186250000494e+05
0.000000000000000000e+00	1.265250788371426240e+07	3.468030649249023199e+07	2.430879875670379843e+05	5.833721460023518885e+05	6.585419688738225959e+06	2.410945369656865019e+06	1.257445108485012133e+04	5.519936481809268007e+05
0.000000000000000000e+00	2.212228951476389170e+07	2.270091424000114575e+07	3.079114509182480397e+05	1.944573820007839531e+05	8.717983689987020567e+06	6.877521732145104557e+06	3.556591852718425071e+04	1.936589749790496891e+06
0.000000000000000000e+00	1.998684421477428824e+07	3.267167826002443209e+07	2.106762558914328984e+05	3.240956366679732455e+05	8.485753753028297797e+06	9.515393703251156956e+06	3.772335325455036946e+04	4.325177571426895447e+05
0.000000000000000000e+00	2.322383394896970317e+07	2.310099166035806760e+07	1.296469267024202272e+05	1.944573820007839531e+05	7.823878913923236541e+06	6.977037247426796705e+06	4.606801910449946445e+04	1.360825694516268326e+06
0.000000000000000000e+00	1.311295469848266803e+07	1.764122568369844556e+07	1.296469267024202272e+05	3.240956366679732455e+05	7.012874592653925531e+06	4.580266030466953292e+06	1.517606165412944756e+04	1.099192203493698267e+06
0.000000000000000000e+00	2.841475281770168617e+07	1.756997101655626670e+07	1.296469267024202272e+05	1.296382546671893360e+05	7.872787990974508226e+06	7.529995322504657321e+06	4.486852979888930713e+04	1.165912727227369789e+06
0.000000000000000000e+00	9.006680147247653455e+06	2.028628228539287671e+07	2.268821217292353685e+05	1.944573820007839531e+05	8.810940009152680635e+06	7.496630460188894533e+06	2.432950586154568882e+05	1.836216289792638738e+06
0.000000000000000000e+00	2.362327163340765983e+07	1.876615523929515108e+07	2.106762558914328984e+05	6.481912733359466802e+04	6.362776516587563790e+06	4.188990989588359371e+06	2.399127712233061611e+05	1.118854566506178351e+06
0.000000000000000000e+00	1.101601248835624568e+07	1.638019722082407773e+07	1.296469267024202272e+05	6.481912733359466802e+04	1.027919714960012399e+07	7.344613155588020571e+06	1.518067055395796197e+05	1.467983354128192179e+06
0.000000000000000000e+00	1.329563606932587363e+07	1.491352927094901912e+07	2.430879875670379843e+05	6.481912733359466802e+04	7.935228151150911115e+06	2.661151699336161837e+06	2.768139477861368214e+05	4.522144506746508181e+06
0.000000000000000000e+00	1.925277989288716763e+07	3.600792534533500671e+07	2.268821217292353685e+05	1.296382546671893360e+05	1.616584602755525894e+07	5.219756044464663602e+06	2.172778510034359933e+05	1.803872039626086131e+06
0.000000000000000000e+00	1.146616757425845787e+07	4.654048797832209617e+07	1.296469267024202272e+05	0.000000000000000000e+00	1.396978475659861043e+07	9.666499487678533420e+06	5.515354894254831597e+05	5.609064380509822629e+06
0.000000000000000000e+00	1.280970133949368633e+07	3.414375196165531129e+07	1.574000368249194289e+05	1.296382546671893360e+05	1.636810755259122327e+07	3.902415853919003624e+06	3.703509202670594677e+05	2.520714603135650977e+06
0.000000000000000000e+00	2.765849373481293395e+07	2.000411574307016283e+07	8.102932918901265657e+04	6.481912733359466802e+04	1.096006542161888257e+07	6.609168123865126632e+06	2.882669916150940116e+05	6.862044527646093629e+06
0.000000000000000000e+00	3.018792261996073648e+07	1.502925531924177334e+07	1.574000368249194289e+05	4.537338913351625088e+05	1.161858554680759832e+07	4.683434304926842451e+06	7.500260232806133572e+05	4.173988639362028800e+06
0.000000000000000000e+00	2.170759011915994808e+07	2.109843674274582788e+07	1.412794629591186822e+05	2.592765093343786721e+05	6.263507144504826516e+06	8.176392596262788400e+06	6.718121964513525600e+05	3.417987361860617995e+06
0.000000000000000000e+00	1.455672869000995718e+07	2.643936453577525914e+07	1.091141480395466351e+05	6.481912733359466802e+04	8.973042478539280593e+06	4.469464655775830150e+06	9.930505357049966697e+05	7.033554484336274676e+06
0.000000000000000000e+00	2.400967965420154110e+07	1.148552350310590304e+07	4.861759751340758521e+04	0.000000000000000000e+00	1.359233751656649075e+07	4.134402838675309904e+06	2.854836818891237490e+05	3.113599750702673569e+06
0.000000000000000000e+00	1.617668600747813098e+07	2.012473280179110542e+07	7.186834065525294864e+04	0.000000000000000000e+00	8.782442857461549342e+06	5.896293129448063672e+06	2.748086286866369192e+05	8.719489393506670371e+06
0.000000000000000000e+00	3.563865046984969079e+07	1.556364235228264518e+07	1.279476798960990564e+05	6.481912733359466802e+04	4.566562885231297463e+06	5.784969040167560801e+06	7.236619523849554826e+05	6.915390100730621256e+06
0.000000000000000000e+00	2.372906287524572760e+07	1.445131206419862062e+07	9.167422103127662558e+04	3.889147640015679062e+05	1.339261009609133936e+07	4.158961993177795783e+06	1.059594559635416372e+06	9.145277085322486237e+06
0.000000000000000000e+00	8.069555181350520812e+06	2.226384234669105709e+07	1.609746418080035073e+05	7.484668122937501175e+04	7.128101730355612934e+06	7.092846606122863479e+06	7.416320418420507340e+05	4.057226349319867324e+06
0.000000000000000000e+00	4.109102408273711335e+06	1.511641308527576923e+07	5.535356978656970750e+04	1.296382546671893360e+05	1.048070261909045279e+07	4.675063548807879910e+06	1.305592988632228691e+06	5.022097946671559475e+06
0.000000000000000000e+00	2.283033472151434049e+07	2.601411829871938005e+07	1.198211644614147808e+05	1.944573820007839531e+05	6.868403369856103323e+06	5.263099072042192332e+06	1.302675177672145190e+06	9.189383033016093075e+06
0.000000000000000000e+00	1.552962401607526094e+07	1.657942454655924626e+07	1.306558674187102151e+05	6.481912733359466802e+04	9.990890920413857326e+06	4.892852142647053115e+06	1.832156655673589557e+06	7.764677669414609671e+06
0.000000000000000000e+00	1.291168643346027844e+07	2.269895718027584255e+07	1.409692991097684135e+05	1.058491916931979067e+05	1.714555525285439193e+07	5.488959886946550570e+06	1.058145940949289128e+06	1.121052551655218378e+07
0.000000000000000000e+00	1.165696518570459820e+07	4.462407190713918954e+07	7.001734285865630955e+04	7.484668122937501175e+04	7.879750220360749401e+06	4.520008073846259154e+06	3.230615025118462276e+06	6.284602096914737485e+06
0.000000000000000000e+00	1.251925950033806264e+07	2.201925081064026430e+07	1.859559845620980486e+05	2.213994688266034645e+05	1.761120763617070392e+07	4.886443689153401181e+06	9.916606818487640703e+05	9.518750218386469409e+06
0.000000000000000000e+00	1.847082151183888689e+07	2.775652778043236583e+07	2.501869385081825603e+05	1.631245598691241175e+05	1.075588769216882065e+07	4.119216734692281578e+06	2.040047562015088042e+06	4.731260562599455006e+06
