#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
2.0%	10000	19.999999999999794	-103005.99394968795	25960.383967282574	-77045.60998240538	327.13253890287626	192.0	0.8610582889713119	0	--
4.0%	20000	40.00000000000292	-102327.8597113823	25473.826317278523	-76854.03339410378	321.00131836434184	192.0	0.8610582889713119	39.2	35:13
6.0%	30000	60.00000000002736	-102111.89396742255	25922.2897380544	-76189.60422936815	326.65250509672506	192.0	0.8610582889713119	39.3	34:24
8.0%	40000	79.99999999999496	-102610.38528703387	25875.1637062072	-76735.22158082668	326.05865954859985	192.0	0.8610582889713119	39.1	33:51
10.0%	50000	99.99999999994834	-103345.31081441326	25777.2342086327	-77568.07660578056	324.8246282948478	192.0	0.8610582889713119	39	33:13
12.0%	60000	119.99999999990173	-103177.09658326216	26080.5289544212	-77096.56762884096	328.6465124530612	192.0	0.8610582889713119	39	32:27
14.0%	70000	139.99999999994037	-102313.68844223263	26162.09628807485	-76151.59215415778	329.6743604611371	192.0	0.8610582889713119	39	31:43
16.0%	80000	160.00000000003587	-102726.1290055678	26347.963549505545	-76378.16545606226	332.0165149226188	192.0	0.8610582889713119	39	30:59
18.0%	90000	180.00000000013137	-102814.87474554403	26051.694202285256	-76763.18054325877	328.2831593652658	192.0	0.8610582889713119	38.9	30:19
20.0%	100000	200.00000000022686	-102752.10350173929	25991.81926657269	-76760.28423516659	327.5286620604115	192.0	0.8610582889713119	38.9	29:38
22.0%	110000	220.00000000032236	-102281.05886165517	25709.003407818665	-76572.05545383651	323.964836886146	192.0	0.8610582889713119	38.8	28:56
24.0%	120000	240.00000000041786	-102428.83901374596	25953.67690219299	-76475.16211155297	327.048021692572	192.0	0.8610582889713119	38.8	28:12
26.0%	130000	260.00000000051335	-103595.67143649893	25307.410827744094	-78288.26060875483	318.90427998182895	192.0	0.8610582889713119	38.8	27:27
28.0%	140000	280.00000000060885	-103086.86985444154	25714.662469094426	-77372.20738534711	324.0361479686507	192.0	0.8610582889713119	38.8	26:44
