#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
2.0%	20000	40.00000000000292	-107212.91515434248	23707.122056547498	-83505.79309779499	298.7386873095837	192.0	0.8610582889713119	0	--
4.0%	40000	79.99999999999496	-107929.99907177019	23902.233075959677	-84027.7659958105	301.19732440943073	192.0	0.8610582889713119	39.2	1:10:34
6.0%	60000	119.99999999990173	-107327.90036412764	24266.200520710223	-83061.69984341742	305.7837586636118	192.0	0.8610582889713119	39	1:09:20
8.0%	80000	160.00000000003587	-107155.07213955875	24301.58983269591	-82853.48230686283	306.22970720946137	192.0	0.8610582889713119	39.1	1:07:44
10.0%	100000	200.00000000022686	-108773.55634245394	23736.873803361246	-85036.6825390927	299.11359565008604	192.0	0.8610582889713119	39.1	1:06:21
12.0%	120000	240.00000000041786	-107963.49146415167	24103.136685203026	-83860.35477894865	303.728955214636	192.0	0.8610582889713119	39.1	1:04:51
14.0%	140000	280.00000000060885	-107143.92086381979	24078.993544167606	-83064.92731965218	303.4247221557582	192.0	0.8610582889713119	39.1	1:03:16
16.0%	160000	320.00000000079984	-107805.09209996478	23749.747632695107	-84055.34446726966	299.275821620268	192.0	0.8610582889713119	39.1	1:01:50
18.0%	180000	360.00000000099084	-108227.64120887492	23602.42692709621	-84625.21428177871	297.41940083249125	192.0	0.8610582889713119	39.1	1:00:28
20.0%	200000	400.00000000118183	-107936.96833785628	24169.48272072599	-83767.48561713028	304.56499627913337	192.0	0.8610582889713119	39	59:05
22.0%	220000	440.0000000013728	-107965.23630068441	23479.92168001462	-84485.31462066979	295.87568512484876	192.0	0.8610582889713119	38.9	57:41
24.0%	240000	480.0000000015638	-107530.07368436462	23448.08652287235	-84081.98716149226	295.47452327009927	192.0	0.8610582889713119	38.9	56:17
26.0%	260000	520.0000000015274	-107023.00167873579	23523.79701273521	-83499.20466600059	296.4285678944635	192.0	0.8610582889713119	38.8	54:53
28.0%	280000	560.0000000005815	-107738.64038389032	23644.76615561826	-84093.87422827206	297.95292681342676	192.0	0.8610582889713119	38.9	53:21
30.0%	300000	599.9999999996356	-108009.49219392317	24178.06499726003	-83831.42719666313	304.6731434435083	192.0	0.8610582889713119	38.9	51:51
32.0%	320000	639.9999999986898	-107614.32340344889	23502.32334558038	-84112.00005786851	296.15797346624674	192.0	0.8610582889713119	38.8	50:25
34.0%	340000	679.9999999977439	-108102.646089608	23735.25356946587	-84367.39252014212	299.09317872449367	192.0	0.8610582889713119	38.8	49:00
36.0%	360000	719.999999996798	-107032.262615614	23352.9090652479	-83679.3535503661	294.275171080307	192.0	0.8610582889713119	38.7	47:34
38.0%	380000	759.9999999958521	-107445.73298099915	24088.07487560633	-83357.65810539282	303.5391580213414	192.0	0.8610582889713119	38.7	46:08
40.0%	400000	799.9999999949063	-107475.66412747513	23985.047335924122	-83490.616791551	302.24088521167755	192.0	0.8610582889713119	38.7	44:42
42.0%	420000	839.9999999939604	-107314.8934949073	23952.447073806856	-83362.44642110044	301.8300820999531	192.0	0.8610582889713119	38.6	43:16
44.0%	440000	879.9999999930145	-107127.72636537737	23569.537398802386	-83558.18896657499	297.00495261371157	192.0	0.8610582889713119	38.6	41:48
46.0%	460000	919.9999999920686	-107359.99136026895	23894.26553294395	-83465.72582732499	301.096923638054	192.0	0.8610582889713119	38.6	40:20
48.0%	480000	959.9999999911228	-107462.36526510093	23863.143423533955	-83599.22184156698	300.70474705545274	192.0	0.8610582889713119	38.5	38:52
50.0%	500000	999.9999999901769	-107211.62069682454	23748.47715983742	-83463.14353698712	299.25981211085303	192.0	0.8610582889713119	38.5	37:23
52.0%	520000	1039.9999999892311	-107705.0915817206	24023.066411884294	-83682.0251698363	302.7199719948802	192.0	0.8610582889713119	38.5	35:52
54.0%	540000	1079.9999999882853	-108031.91895086296	24060.745845592875	-83971.17310527009	303.1947788709667	192.0	0.8610582889713119	38.6	34:21
56.0%	560000	1119.9999999873394	-107393.03198668682	23806.535679163695	-83586.49630752314	299.9914203511657	192.0	0.8610582889713119	38.6	32:51
58.0%	580000	1159.9999999863935	-107637.93137245068	24297.46876689641	-83340.46260555426	306.17777674804466	192.0	0.8610582889713119	38.6	31:20
60.0%	600000	1199.9999999854476	-107825.34462005353	23919.48857952815	-83905.85604052537	301.41476482554776	192.0	0.8610582889713119	38.6	29:50
62.0%	620000	1239.9999999845018	-107875.83198130436	23465.65120724796	-84410.18077405641	295.69585974193507	192.0	0.8610582889713119	38.6	28:20
64.0%	640000	1279.9999999835559	-107684.57669384133	24101.074454110007	-83583.50223973132	303.7029685846187	192.0	0.8610582889713119	38.6	26:50
66.0%	660000	1319.99999998261	-107055.75185683537	24036.17531203533	-83019.57654480005	302.8851601444098	192.0	0.8610582889713119	38.7	25:19
68.0%	680000	1359.9999999816641	-107688.55842462825	23683.75560021567	-84004.80282441259	298.4442414264016	192.0	0.8610582889713119	38.7	23:49
70.0%	700000	1399.9999999807183	-107681.62890183563	23948.239177558586	-83733.38972427705	301.7770574688509	192.0	0.8610582889713119	38.7	22:19
72.0%	720000	1439.9999999797724	-107647.20210346646	23849.241146464497	-83797.96095700197	300.5295613879374	192.0	0.8610582889713119	38.7	20:49
74.0%	740000	1479.9999999788265	-107821.9239372922	23764.548988723225	-84057.37494856898	299.46233678055165	192.0	0.8610582889713119	38.8	19:19
76.0%	760000	1519.9999999778806	-107832.35081952192	23681.793884596565	-84150.55693492535	298.4195214140978	192.0	0.8610582889713119	38.8	17:49
78.0%	780000	1559.9999999769348	-107736.23023859366	23551.549631399623	-84184.68060719404	296.77828477909566	192.0	0.8610582889713119	38.8	16:19
80.0%	800000	1599.9999999759889	-108051.03770493774	23707.728169175254	-84343.30953576248	298.7463250688337	192.0	0.8610582889713119	38.8	14:49
82.0%	820000	1639.999999975043	-107600.69106187859	23726.041431919733	-83874.64962995886	298.9770945422262	192.0	0.8610582889713119	38.9	13:20
84.0%	840000	1679.9999999740971	-108089.69197492172	23641.288383406245	-84448.40359151547	297.9091026367552	192.0	0.8610582889713119	38.9	11:50
86.0%	860000	1719.9999999731513	-107612.31136015519	24244.73471460011	-83367.57664555508	305.51326329415787	192.0	0.8610582889713119	38.9	10:21
88.0%	880000	1759.9999999722054	-107659.81382787898	23723.25692376774	-83936.55690411125	298.9420063392742	192.0	0.8610582889713119	38.9	8:52
90.0%	900000	1799.9999999712595	-107225.34194750905	23930.038831645787	-83295.30311586327	301.5477108854233	192.0	0.8610582889713119	39	7:23
92.0%	920000	1839.9999999703136	-107518.76135664007	24054.53294942362	-83464.22840721645	303.1164887925014	192.0	0.8610582889713119	39	5:54
94.0%	940000	1879.9999999693678	-107573.83966188472	24255.843778974504	-83317.99588291021	305.6532510708491	192.0	0.8610582889713119	39	4:26
96.0%	960000	1919.999999968422	-107356.03535584	23984.317568574417	-83371.71778726557	302.23168925193295	192.0	0.8610582889713119	39	2:57
98.0%	980000	1959.999999967476	-107922.76756212213	23948.49604750575	-83974.27151461638	301.78029434385587	192.0	0.8610582889713119	39	1:28
100.0%	1000000	1999.9999999665301	-108002.45425610282	24172.076913638506	-83830.37734246432	304.59768627766897	192.0	0.8610582889713119	38.9	0:00
